year,x7,x8,x9,x10,x11,x12,x13,y
1999,525.71,985.31,60.62,65.66,120,1.029,5321,64.87
2000,618.25,1259.2,73.46,95.46,113.5,1.051,6529,99.75
2001,638.94,1468.06,81.16,81.16,108.2,1.064,7008,88.11
2002,656.58,1678.12,85.72,91.7,102.2,1.092,7694,106.07
2003,758.83,1893.52,88.88,114.61,97.7,1.2,8027,137.32
2004,878.26,2139.18,92.85,152.78,98.5,1.198,8549,188.14
2005,923.67,2492.74,94.37,170.62,102.8,1.348,9566,219.91
2006,,2841.65,97.28,214.53,98.9,1.467,10473,271.91
2007,1009.24,3203.96,103.07,202.18,97.6,1.56,11469,269.1
2008,1175.17,3758.62,109.91,222.51,100.1,1.456,12360,300.55
2009,1348.93,4450.55,117.15,,101.7,1.424,14174,338.45
2010,1519.16,5154.23,130.22,303.41,101.5,1.456,16394,408.86
2011,1696.38,6081.86,128.51,356.99,102.3,1.438,17881,476.72
2012,1863.34,7140.32,149.87,429.36,103.4,1.474,20058,838.99
2013,2105.54,8287.38,169.19,508.84,105.9,1.515,22114,843.14
2014,2659.85,9138.21,172.28,557.74,97.5,1.633,24190,1107.67
2015,3263.57,10748.28,188.57,664.06,103.2,1.638,29549,1399.16
2016,3412.21,12423.44,204.54,710.66,105.5,1.67,34214,1535.14
2017,3758.39,13551.21,213.76,760.49,103,1.825,37934,1579.68
2018,4454.55,15420.14,228.46,852.56,102.6,1.906,41972,2088.14
2019,4600.4,18686.28,240.34,895.87,106.7,2.105,44506.47,
2020,5214.78,21474.47,235.67,887.67,105.8,2.232,49945.88,
